code_uic,libelle,fret,code_ligne,geometry
87743302,Ceyzériat,False,884000,POINT (5.325714964198832 46.183333329028464)
87581215,Margaux,False,584000,POINT (-0.685429458288951 45.03585421888383)
87718536,Étalans,False,872000,POINT (6.270665680069558 47.15598364924016)
87212332,Gambsheim,False,145000,POINT (7.87926059113748 48.69510389746043)
87584235,Gardonne,False,629000,POINT (0.331967638905792 44.83466777499056)
87214726,Rothau,False,110000,POINT (7.207432343690652 48.45922303170614)
87615005,Albi,True,736000,POINT (2.137784640369475 43.922346996567065)
87611350,Vernet-d'Ariège,False,672000,POINT (1.611607072773936 43.18934614577398)
87747337,Voreppe,True,905000,POINT (5.632502398249644 45.28979330855612)
87775817,Vauvert,True,819000,POINT (4.270078432371115 43.69506047008518)
87144048,Lépanges,False,062000,POINT (6.672321134908768 48.17273700972887)
87615419,Marssac-sur-Tarn,False,741000,POINT (2.026894992903472 43.91501708033958)
87276469,Persan-Beaumont,True,329000,POINT (2.2787859638815 49.148278729127625)
87271577,Nanteuil-le-Haudouin,True,229000,POINT (2.793984979261507 49.142367029198425)
87286583,Orchies,False,267000,POINT (3.249248747648426 50.47723062458562)
87481721,Donges,True,515000,POINT (-2.071624327315273 47.30873250137791)
87726406,Andrézieux,False,784000,POINT (4.255251896304131 45.52162717494749)
87286716,Croix-Wasquehal,False,278000,POINT (3.138716972159806 50.67914456807559)
87271874,Crouy,True,229000,POINT (3.356971247776012 49.40374049323309)
87718460,Baume-les-Dames,False,852000,POINT (6.359331703571243 47.35406376479787)
87276147,Épluches,True,329000,POINT (2.123061762756987 49.05535242748123)
87745588,Machilly,False,892000,POINT (6.328385050923678 46.252777336354434)
87586545,Marmande,True,640000,POINT (0.168080472582613 44.50320309549563)
87764308,Pierrelatte,True,830000,POINT (4.703944257544839 44.37464620536279)
87594382,Condat-le-Lardin,True,621000,POINT (1.226449372516201 45.1266577369849)
87271411,Aulnay-sous-Bois,False,076000,POINT (2.494534649817342 48.93229566589722)
87597120,Argenton-sur-Creuse,True,590000,POINT (1.516130340379535 46.594539441634346)
87696146,Cosne-sur-Loire,True,750000,POINT (2.932260348665754 47.41390135271838)
87584540,St-Aigulin-La Roche-Chalais,False,570000,POINT (-0.019192014902318 45.15723333052645)
87215699,Tieffenbach-Struth,False,161000,POINT (7.255222037197653 48.90631229001126)
87386680,Les Mureaux,True,340000,POINT (1.922768734332167 48.99528523655792)
87396333,Le Theil-La Rouge,True,420000,POINT (0.694307756121526 48.26727409926818)
87394155,Jouy,False,420000,POINT (1.557659496625176 48.51003929700431)
87381145,Osny,False,330000,POINT (2.057887733680519 49.062936472490996)
87313726,Marseille-en-Beauvaisis,False,325000,POINT (1.954684190772343 49.570952506120705)
87575035,Monts,False,570000,POINT (0.654757246090168 47.28172305228095)
87561143,Halte de Fontanil-Lycée de Drap,False,945000,POINT (7.339017118416616 43.76417078047434)
87476754,Sévérac,False,470000,POINT (-2.072787144848603 47.54983414388377)
87741439,Lépin-le-Lac-La Bauche,False,903000,POINT (5.765188064755026 45.54163587163299)
87444604,Ste-Gauburge,False,395000,POINT (0.428891878206588 48.71742513315084)
87214502,Lingolsheim,False,110000,POINT (7.678357318550336 48.559387131092016)
87722744,Alaï,False,775000,POINT (4.771826833320995 45.75190056831618)
87611889,Moissac,False,640000,POINT (1.077375299673649 44.10240929717348)
87313098,Ailly-sur-Somme,False,311000,POINT (2.200728631856052 49.92846823710446)
87775841,St-Laurent-d'Aigouze,False,819000,POINT (4.193010328022384 43.63914459620749)
87615120,Couffoulens-Leuc,False,676000,POINT (2.316895616554443 43.155197220269976)
87784819,Font-Romeu-Odeillo-Via,False,669000,POINT (2.038504116632243 42.49121703759479)
87213207,Mertzwiller,True,159000,POINT (7.678279658108225 48.87217402960883)
87582403,Gazinet-Cestas,True,655000,POINT (-0.699274977510006 44.77217336608307)
87485185,La Jarrie,False,538000,POINT (-1.0259283311479 46.121470608351224)
87287185,Deûlémont,False,296000,POINT (2.993902419598765 50.716697992000704)
87481259,Les Moutiers-en-Retz,False,536000,POINT (-2.00141600844238 47.06192270032216)
87184424,Morvillars,True,854000,POINT (6.935477042539168 47.549658686479866)
87317396,Noyelles-sur-Mer,True,311000,POINT (1.704777772757722 50.18738749354913)
87182709,Bollwiller,False,115000,POINT (7.267489660902712 47.8566331056237)
87141549,Xeuilley,True,040000,POINT (6.101969332063631 48.569674280414546)
87594614,Le Burg,False,613000,POINT (1.429694582784341 45.21628449627287)
87313445,Marcelcave,False,261000,POINT (2.582196652970226 49.853154656686684)
87159947,Ker-Lann,False,468000,POINT (-1.739311919121088 48.04337224303794)
87393066,Javel,False,977000,POINT (2.276972522624144 48.84624503119497)
87212191,Strasbourg-Roethig,False,110000,POINT (7.69491544223229 48.56330394003674)
87546226,Les Saules,False,985000,POINT (2.417557384233157 48.74485973898666)
87715326,Champagnole,True,878000,POINT (5.910072631614373 46.749442278840284)
87545186,Marolles-en-Hurepoix,False,570000,POINT (2.291189878826281 48.563534495926675)
87682104,Montgeron-Crosne,False,830000,POINT (2.46060264842052 48.70907705831389)
87594218,Vigeois,False,590000,POINT (1.515629408130176 45.38311858912343)
87491449,Cognac,True,579000,POINT (-0.325914220058969 45.68454005697653)
87175117,Chevillon,True,020000,POINT (5.111915412992607 48.52413629895081)
87276766,Ribécourt,True,242000,POINT (2.92742032150137 49.506111817883784)
87473553,Le Pénity,False,485000,POINT (-3.476354793367861 48.36454055637827)
87721340,St-Georges-de-Reneins,False,830000,POINT (4.718750400651637 46.06206242031988)
87757674,Antibes,True,930000,POINT (7.119225384209235 43.58588666410887)
87276758,Nointel-Mours,False,325000,POINT (2.280531071997477 49.13259144138172)
87313718,St-Omer-en-Chaussée,False,325000,POINT (1.99693742408969 49.530183272722596)
87144345,Provenchères-sur-Fave,False,110000,POINT (7.085467242225605 48.30457112512377)
87182550,Vieux-Thann,True,130000,POINT (7.120561396535638 47.8053145305946)
87141374,St-Clément-Laronxe,False,067000,POINT (6.608243170212742 48.531305690887784)
87574111,Chaingy-Fourneaux-Plage,False,570000,POINT (1.782366896049649 47.8770169108246)
87582759,Barsac,False,640000,POINT (-0.320676943169897 44.603962005532246)
87597062,Issoudun,True,590000,POINT (1.987487716284131 46.95199502557765)
87734343,Chapeauroux,False,790000,POINT (3.742013580195539 44.83784076273907)
87287243,Cobrieux,False,268000,POINT (3.219116975031333 50.54040920003224)
87491100,Pons,True,500000,POINT (-0.538959333426998 45.57813620688852)
