code_uic,libelle,fret,code_ligne,geometry,code_postal,Segmentation DRG,Total Voyageurs,Total Voyageurs + Non Voyageurs,Année
87613356,Caussade,True,590000,POINT (1.53304724483883 44.16128580814777),82300,C,186977.0,186977.0,2023
87745000,Bellegarde,True,890000,POINT (5.825676729983516 46.11051692197113),1200,A,1419005.0,1669418.0,2015
87745000,Bellegarde,True,890000,POINT (5.825676729983516 46.11051692197113),1200,A,1359050.0,1598883.0,2016
87745000,Bellegarde,True,890000,POINT (5.825676729983516 46.11051692197113),1200,A,1352028.0,1590621.0,2017
87745000,Bellegarde,True,890000,POINT (5.825676729983516 46.11051692197113),1200,A,1151476.0,1354677.0,2018
87745000,Bellegarde,True,890000,POINT (5.825676729983516 46.11051692197113),1200,A,1305663.0,1536074.0,2019
87745000,Bellegarde,True,890000,POINT (5.825676729983516 46.11051692197113),1200,A,775242.0,912049.0,2020
87745000,Bellegarde,True,890000,POINT (5.825676729983516 46.11051692197113),1200,A,1123969.0,1322317.0,2021
87745000,Bellegarde,True,890000,POINT (5.825676729983516 46.11051692197113),1200,A,1500251.0,1765001.0,2022
87745000,Bellegarde,True,890000,POINT (5.825676729983516 46.11051692197113),1200,A,1723382.0,2027508.0,2023
87317164,Montreuil-sur-Mer,False,308000,POINT (1.76901790474821 50.46637341955948),62170,C,57554.0,57554.0,2015
87317164,Montreuil-sur-Mer,False,308000,POINT (1.76901790474821 50.46637341955948),62170,C,51489.0,51489.0,2016
87317164,Montreuil-sur-Mer,False,308000,POINT (1.76901790474821 50.46637341955948),62170,C,29338.0,29338.0,2017
87317164,Montreuil-sur-Mer,False,308000,POINT (1.76901790474821 50.46637341955948),62170,C,2112.0,2112.0,2018
87317164,Montreuil-sur-Mer,False,308000,POINT (1.76901790474821 50.46637341955948),62170,C,2462.0,2462.0,2019
87317164,Montreuil-sur-Mer,False,308000,POINT (1.76901790474821 50.46637341955948),62170,C,2242.0,2242.0,2020
87317164,Montreuil-sur-Mer,False,308000,POINT (1.76901790474821 50.46637341955948),62170,C,20736.0,20736.0,2021
87317164,Montreuil-sur-Mer,False,308000,POINT (1.76901790474821 50.46637341955948),62170,C,41868.0,41868.0,2022
87317164,Montreuil-sur-Mer,False,308000,POINT (1.76901790474821 50.46637341955948),62170,C,48213.0,48213.0,2023
87394015,Lucé,True,500000,POINT (1.453018308838862 48.43670752100249),28110,C,25563.0,25563.0,2015
87394015,Lucé,True,500000,POINT (1.453018308838862 48.43670752100249),28110,C,23957.0,23957.0,2016
